City,Country,Lat,Lng,Cloudiness,Wind Speed,Humidity,Maximum Temp,Date
Ahipara,NZ,-35.1667,173.1667,21,12.95,62,65.89,1619829856
Faya,SA,18.3851,42.4509,20,4.61,48,64.4,1619829856
Klaksvík,FO,62.2266,-6.589,75,8.75,87,35.6,1619829857
Atambua,ID,-9.1061,124.8925,50,2.73,64,80.69,1619829857
Carnarvon,AU,-24.8667,113.6333,100,10.36,55,64.4,1619829857
Beringovskiy,RU,63.05,179.3167,98,14.09,74,24.48,1619829858
Inhambane,MZ,-23.865,35.3833,100,7.18,80,72.28,1619829858
Mutoko,ZW,-17.397,32.2268,98,3.47,93,58.89,1619829858
Baião,BR,-2.7906,-49.6717,100,4.27,99,73.13,1619829859
Hobart,AU,-42.8794,147.3294,75,11.5,55,63,1619829859
Port Hardy,CA,50.6996,-127.4199,75,2.3,87,51.8,1619829860
Parker,US,32.7668,-97.8003,100,3,94,64.99,1619829834
Joshīmath,IN,30.5667,79.5667,13,6.69,60,56.84,1619829860
Les Cayes,HT,18.2,-73.75,63,3.76,82,76.57,1619829861
Port Lincoln,AU,-34.7333,135.8667,99,19.19,36,74.21,1619829861
Mar del Plata,AR,-38.0023,-57.5575,0,10.36,77,63,1619829748
Nome,US,64.5011,-165.4064,75,11.5,68,27,1619829841
Alice Springs,AU,-23.7,133.8833,100,2.3,27,73.99,1619829722
Grindavik,IS,63.8424,-22.4338,20,21.85,75,33.8,1619829862
Yangi Marg`ilon,UZ,40.4272,71.7189,53,4.61,55,64.4,1619829863
Hermanus,ZA,-34.4187,19.2345,0,1.99,82,53.01,1619829863
Byron Bay,AU,-28.65,153.6167,40,12.66,68,71.6,1619829864
Chupa,RU,66.27,33.0549,21,7.11,78,24.35,1619829864
Ilulissat,GL,69.2167,-51.1,99,4.27,52,37.4,1619829864
Camacha,PT,33.0833,-16.3333,20,6.91,72,60.8,1619829865
Fairbanks,US,64.8378,-147.7164,90,12.66,51,37.99,1619829776
Makkah al Mukarramah,SA,21.4267,39.8261,99,3.87,52,84.13,1619829658
Kahului,US,20.8947,-156.47,40,17.27,69,80.6,1619829865
Auki,SB,-8.7676,160.7034,90,1.23,63,85.57,1619829866
Chaumont-Gistoux,BE,50.6775,4.7212,4,3.44,87,39.2,1619829866
Atuona,PF,-9.8,-139.0333,0,3.47,68,79.41,1619829867
Sosnytsya,UA,51.5239,32.4999,95,5.97,94,51.82,1619829867
Hasaki,JP,35.7333,140.8333,75,8.05,72,70,1619829867
Kruisfontein,ZA,-34.0033,24.7314,0,6.62,70,52.07,1619829868
Hualmay,PE,-11.0964,-77.6139,17,7.76,88,66.51,1619829868
Arawa,PG,-6.2132,155.5367,38,4.7,71,85.14,1619829868
Bilibino,RU,68.0546,166.4372,80,2.26,74,16.74,1619829869
Bethel,US,41.3712,-73.414,90,18.41,40,53.6,1619829657
Lata,PT,40.1629,-8.3327,41,2.73,82,54,1619829869
Kenai,US,60.5544,-151.2583,1,10.36,36,46.4,1619829870
Yeniseysk,RU,58.4497,92.1703,8,8.19,84,41.81,1619829870
Sitka,US,57.0531,-135.33,90,6.91,87,46.4,1619829871
Mugur-Aksy,RU,50.35,90.5,100,7.34,68,45.39,1619829871
Saint-Philippe,RE,-21.3585,55.7679,0,6.91,78,73.4,1619829872
Amapá,BR,1,-52,100,2.84,98,72.48,1619829872
Huamachuco,PE,-7.8,-78.0667,97,1.79,89,50.83,1619829872
Maragogi,BR,-9.0122,-35.2225,82,10.45,82,76.89,1619829873
Esperance,AU,-33.8667,121.9,90,6.91,94,55.4,1619829640
Norman Wells,CA,65.282,-126.8329,20,12.66,31,48.2,1619829873
Saint George,US,37.1041,-113.5841,1,4.61,9,93,1619829874
Nanortalik,GL,60.1432,-45.2371,55,10.6,72,37.65,1619829874
São Filipe,CV,14.8961,-24.4956,41,7.87,76,72.68,1619829874
Westport,US,41.1415,-73.3579,3,1.99,48,54,1619829875
Longyearbyen,SJ,78.2186,15.6401,20,19.57,62,12.2,1619829822
Martinsburg,US,39.4562,-77.9639,20,18.41,50,52,1619829732
Pedersore,FI,63.65,22.6833,0,3.44,93,30.99,1619829875
Cabo San Lucas,MX,22.8909,-109.9124,1,14.97,32,81,1619829876
Mossamedes,AO,-15.1961,12.1522,5,5.53,75,74.98,1619829876
East London,ZA,-33.0153,27.9116,65,12.17,75,61.57,1619829876
Bariloche,AR,-41.1456,-71.3082,90,13.8,81,50,1619829625
Borogontsy,RU,62.6683,131.1683,97,5.57,84,40.35,1619829877
Husavik,IS,66.0449,-17.3389,90,6.91,93,32,1619829877
Coahuayana Viejo,MX,18.7333,-103.6833,40,11.5,48,84.2,1619829878
Coyhaique,CL,-45.5752,-72.0662,75,4.61,87,50,1619829878
Makakilo City,US,21.3469,-158.0858,90,11.5,61,84.2,1619829879
Kolpashevo,RU,58.3131,82.9089,4,8.57,79,39.92,1619829852
São João da Barra,BR,-21.6403,-41.0511,93,10.22,72,69.21,1619829879
Butaritari,KI,3.0707,172.7902,96,12.3,73,83.43,1619829880
Ajdabiya,LY,30.7554,20.2263,16,11.43,14,84.63,1619829880
Strathpeffer,GB,57.588,-4.5382,75,2.3,87,39.2,1619829880
Uyemskiy,RU,64.4743,40.8524,90,4.79,93,30.2,1619829881
Sinnamary,GF,5.3833,-52.95,100,10.83,92,75.47,1619829881
Lagoa,PT,39.05,-27.9833,100,9.53,73,59.13,1619829881
George Town,MY,5.4112,100.3354,20,4.61,94,78.01,1619829614
Menton,FR,43.7765,7.5044,0,5.75,88,55.99,1619829882
Avarua,CK,-21.2078,-159.775,75,6.91,69,82.4,1619829883
Udachny,RU,66.4167,112.4,100,10.02,96,32.83,1619829883
Jacareacanga,BR,-6.2222,-57.7528,100,1.16,97,73.49,1619829883
Razdolinsk,RU,58.4211,94.6658,92,4.59,94,36.41,1619829884
Okha,RU,53.5739,142.9478,100,9.51,81,34.83,1619829884
Kalnciems,LV,56.8011,23.6097,0,4.61,87,35.6,1619829884
Muisne,EC,0.6,-80.0333,100,1.1,88,75.81,1619829885
Valea Mare,RO,44.4667,24.4333,0,4.61,82,57.99,1619829885
Lexington,US,37.9887,-84.4777,1,13.8,33,60.8,1619829873
Jutaí,BR,-5.1833,-68.9,100,2.04,99,70.88,1619829886
Faanui,PF,-16.4833,-151.75,100,4.09,73,80.78,1619829886
Humboldt,US,40.6665,-123.9178,20,12.66,94,60.01,1619829887
Estelle,US,29.8458,-90.1067,90,7.23,78,78.8,1619829887
Provideniya,RU,64.3833,-173.3,100,5.95,75,28.74,1619829887
Lompoc,US,34.6391,-120.4579,90,11.5,87,60.01,1619829776
Bredasdorp,ZA,-34.5322,20.0403,0,2.3,93,41,1619829888
Manaíra,BR,-7.7061,-38.1544,100,11.27,80,68.83,1619829888
Āsosa,ET,10.0667,34.5333,44,4.09,72,64.78,1619829889
Camargo,MX,27.6667,-105.1667,100,13.44,58,59.22,1619829889
Lüderitz,NA,-26.6481,15.1594,0,13.44,39,63,1619829889
Aiquile,BO,-18.2041,-65.1807,2,3.4,83,53.44,1619829890
Lavrentiya,RU,65.5833,-171,56,2.98,67,25.57,1619829890
Castlecomer,IE,52.8061,-7.2106,1,3.33,89,35.01,1619829890
Shimanovsk,RU,52,127.7,95,5.86,48,44.6,1619829891
Ambilobe,MG,-13.2,49.05,6,2.66,95,72.64,1619829891
Kushmurun,KZ,52.4503,64.6311,1,2.8,57,42.82,1619829891
Geraldton,AU,-28.7667,114.6,95,13.8,39,62.6,1619829892
Cherskiy,RU,68.75,161.3,78,1.95,81,18.54,1619829893
Chui,UY,-33.6971,-53.4616,100,7.9,93,59.85,1619829727
Mumbwa,ZM,-14.9783,27.0619,97,1.57,89,64.81,1619829893
Chadan,RU,51.2833,91.5833,100,10.67,89,43.75,1619829894
Salgueiro,BR,-8.0742,-39.1192,100,19.48,63,74.89,1619829744
Angoche,MZ,-16.2325,39.9086,0,2.33,86,76.17,1619829894
Gambēla,ET,8.25,34.5833,100,3.06,78,74.43,1619829895
Port Elizabeth,ZA,-33.918,25.5701,0,9.22,58,59,1619829895
Lorengau,PG,-2.0226,147.2712,50,0.85,62,86.22,1619829895
Rūdbār,AF,30.15,62.6,66,16.98,47,74.77,1619829896
Marawi,PH,7.9986,124.2928,76,1.99,74,84,1619829896
Balyqshy,KZ,47.0667,51.8667,0,15.66,30,55.4,1619829897
Mitsamiouli,KM,-11.3847,43.2844,7,4.85,77,81.39,1619829897
Ulaanbaatar,MN,47.9077,106.8832,75,17.9,33,41,1619829639
Marshall,US,34.3834,-86.3333,1,5.75,42,73,1619829669
Keningau,MY,5.3378,116.1602,20,3.44,79,84.2,1619829898
Juneau,US,58.3019,-134.4197,90,11.5,81,44.6,1619829872
Vostok,RU,46.4856,135.8833,0,6.82,44,50.14,1619829898
Båtsfjord,NO,70.6345,29.7185,100,24.79,72,33.15,1619829899
Tasiilaq,GL,65.6145,-37.6368,26,3.44,86,26.6,1619829899
Bambous Virieux,MU,-20.3428,57.7575,75,13.8,78,77,1619829899
Cape Girardeau,US,37.3834,-89.7168,1,9.22,40,73.4,1619829613
Qui Nhon,VN,13.7667,109.2333,12,1.74,70,82.29,1619829646
Farmington,US,36.7281,-108.2187,1,9.22,10,80.6,1619829900
Lhokseumawe,ID,5.1801,97.1507,100,3.8,84,78.62,1619829901
Fort Nelson,CA,58.8053,-122.7002,75,9.22,23,59,1619829790
Khatanga,RU,71.9667,102.5,100,10.04,92,33.06,1619829901
Vanavara,RU,60.34,102.2797,15,9.26,72,38.71,1619829902
Bengkulu,ID,-3.8004,102.2655,100,3.22,81,78.17,1619829808
Rochester,US,43.1548,-77.6156,90,25.32,75,41,1619829663
Jimbolia,RO,45.7914,20.7172,20,11.5,88,62.01,1619829904
Nouadhibou,MR,20.931,-17.0347,0,19.24,91,65.71,1619829904
Gayny,RU,60.3071,54.3241,100,14.16,91,39.83,1619829905
Ol'ga,RU,43.7444,135.2892,42,4.38,55,52.07,1619829905
Knysna,ZA,-34.0363,23.0471,0,3.44,87,50,1619829906
Northam,GB,51.0333,-4.2167,16,5.44,1,37.99,1619829906
Solnechnyy,RU,50.7214,136.6319,100,9.22,66,38.35,1619829906
Basco,PH,20.4487,121.9702,2,6.02,73,79.45,1619829907
Souillac,MU,-20.5167,57.5167,75,13.8,78,77,1619829907
Berlevåg,NO,70.8578,29.0864,100,26.53,66,34,1619829908
Antalaha,MG,-14.9003,50.2788,8,5.64,91,73.54,1619829908
Province of Mantua,IT,45.1667,10.7833,100,1.99,88,57,1619829909
Tiksi,RU,71.6872,128.8694,16,4.43,89,30.45,1619829909
Talnakh,RU,69.4865,88.3972,12,2.55,82,23.23,1619829910
Lingao,CN,19.9103,109.6859,99,1.63,79,79.16,1619829910
Ust-Kuyga,RU,70.0167,135.6,74,4.94,95,32.85,1619829910
Paamiut,GL,61.994,-49.6678,8,6.91,76,38.25,1619829911
Beaverlodge,CA,55.2166,-119.4361,75,25.32,36,59,1619829911
Oxford,GB,51.7522,-1.256,40,2.3,81,41,1619829675
Miraflores,MX,19.2167,-98.8083,75,13.8,56,77,1619829911
Katsuura,JP,35.1333,140.3,40,6.91,72,70,1619829912
Kumul,CN,42.8,93.45,39,8.97,11,75.51,1619829697
Key West,US,24.5557,-81.7826,1,5.75,74,82.4,1619829709
Wajid,SO,3.8093,43.2471,92,8.55,79,74.86,1619829913
Banda Aceh,ID,5.5577,95.3222,52,5.84,77,80.87,1619829913
Luena,AO,-11.7833,19.9167,39,2.53,95,59.65,1619829913
Khvatovka,RU,52.3524,46.5628,100,15.01,91,46.54,1619829914
Sterling,US,39.0062,-77.4286,75,19.57,62,52,1619829751
Margate,GB,51.3813,1.3862,12,1.99,82,43,1619829914
Bombarral,PT,39.2672,-9.158,91,7,69,55,1619829641
Sisimiut,GL,66.9395,-53.6735,100,1.79,84,33.96,1619829915
Red Bluff,US,40.1785,-122.2358,1,12.66,17,86,1619829915
Ketchikan,US,55.3422,-131.6461,100,4,96,43.75,1619829916
Verkhoyansk,RU,67.5447,133.385,92,1.3,94,32.34,1619829916
New Norfolk,AU,-42.7826,147.0587,75,11.5,55,63,1619829917
Moose Factory,CA,51.2585,-80.6094,40,4.61,55,32,1619829917
Būlaevo,KZ,54.9056,70.4439,39,12.91,48,38.41,1619829677
Asarganj,IN,25.15,86.6833,0,6.02,34,86.13,1619829918
Bassum,DE,52.85,8.7333,40,6.91,81,46.4,1619829918
Ricardo Palma,PE,-11.9181,-76.6664,40,11.5,82,69.01,1619829919
Carutapera,BR,-1.195,-46.02,42,3.89,92,74.75,1619829919
Yanam,IN,16.7333,82.2167,40,4.61,89,80.6,1619829920
Neuquén,AR,-38.9516,-68.0591,0,3.62,82,55.4,1619829920
Chokurdakh,RU,70.6333,147.9167,7,5.97,82,20.44,1619829920
Gezing,AT,47.9178,13.1299,75,6.91,76,50,1619829921
Santa Isabel Rio Negro,BR,-0.4139,-65.0192,87,1.48,94,73.71,1619829921
Cabedelo,BR,-6.9811,-34.8339,20,5.75,100,75.2,1619829921
Umluj,SA,25.0213,37.2685,0,9.66,33,85.03,1619829922
Neturhāt,IN,23.4833,84.2667,5,3.91,27,75.47,1619829922
North Bend,US,43.4065,-124.2243,90,8.05,94,59,1619829923
Kayes,ML,14,-11,7,15.1,22,94.48,1619829923
Puerto Suárez,BO,-18.95,-57.8,0,1.54,46,71.78,1619829923
Fenelon Falls,CA,44.5334,-78.7496,100,20.71,87,35.6,1619829924
Acaraú,BR,-2.8856,-40.12,39,7.99,85,77.92,1619829924
Buluang,PH,13.3068,123.3425,10,0.36,60,85.28,1619829924
Itoman,JP,26.1247,127.6694,75,13.8,83,78.01,1619829925
Pisco,PE,-13.7,-76.2167,0,11.5,82,66.2,1619829925
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,90,13.42,100,37.4,1619829837
Bullhead City,US,35.1478,-114.5683,40,5.75,6,102.99,1619829926
Pangnirtung,CA,66.1451,-65.7125,13,8.14,78,31.51,1619829926
Manadhoo,MV,5.7667,73.3833,23,5.28,72,83.23,1619829926
Kununurra,AU,-15.7667,128.7333,0,6.91,35,86,1619829927
Esim,GH,4.8699,-2.2405,100,6.76,79,81.3,1619829928
Tuatapere,NZ,-46.1333,167.6833,96,5.01,74,54,1619829928
Hofn,IS,64.2539,-15.2082,100,11.27,65,35.85,1619829928
Paita,PE,-5.0892,-81.1144,20,12.5,78,70.66,1619829929
Petatlán,MX,17.5167,-101.2667,1,3.89,58,86,1619829929
Saldanha,ZA,-33.0117,17.9442,0,2.3,76,53.6,1619829929
Nicoya,CR,10.1483,-85.452,40,6.91,69,82.4,1619829930
Maceió,BR,-9.6658,-35.7353,40,4.61,78,78.8,1619829930
Dabat,ET,12.9842,37.765,100,6.02,59,58.95,1619829930
Halifax,CA,44.6453,-63.5724,74,16.11,93,46,1619829726
Iqaluit,CA,63.7506,-68.5145,75,10.36,75,35.6,1619829931
Riyadh,SA,24.6877,46.7219,0,4.61,12,86,1619829800
Narsaq,GL,60.9167,-46.05,67,24.16,29,50,1619829926
Adjumani,UG,3.3779,31.7909,100,2.51,95,66.22,1619829674
Kano,NG,12.0001,8.5167,0,5.03,25,78.8,1619829931
Howard Springs,AU,-12.497,131.047,0,12.66,57,82.99,1619829932
Havøysund,NO,70.9963,24.6622,90,14.97,100,26.6,1619829932
São Gabriel da Cachoeira,BR,-0.1303,-67.0892,100,2.3,97,72.54,1619829932
Garoowe,SO,8.4054,48.4845,100,9.84,81,74.28,1619829933
Mopti,ML,14.6667,-4,56,10.36,31,89.6,1619829933
Coquimbo,CL,-29.9533,-71.3436,0,4.52,88,57.2,1619829934
Pathein,MM,16.7833,94.7333,11,3.22,70,83.16,1619829934
Touros,BR,-5.1989,-35.4608,40,3.44,94,75.2,1619829934
Mangan,IN,27.5167,88.5333,91,3.87,52,72.23,1619829935
Krasnyy Oktyabr',RU,56.1167,38.8833,100,10.56,87,47.52,1619829935
Upernavik,GL,72.7868,-56.1549,100,4.92,79,25.07,1619829935
Comodoro Rivadavia,AR,-45.8667,-67.5,0,2.3,59,64.4,1619829901
Japura,ID,-0.3167,102.35,91,2.08,82,76.28,1619829936
Hamilton,US,39.1834,-84.5333,1,11.5,30,57.2,1619829905
Sakaiminato,JP,35.55,133.2333,90,6.91,94,53.6,1619829936
Santa Rosa,PH,14.3122,121.1114,20,5.75,66,87.01,1619829937
Livingston,GB,55.9029,-3.5226,40,2.3,81,41,1619829937
Charters Towers,AU,-20.1,146.2667,19,12.06,56,75.58,1619829926
Abu Dhabi,AE,24.4667,54.3667,0,3.44,69,80.6,1619829882
Yulara,AU,-25.2406,130.9889,100,5.75,28,68,1619829938
Tabas,IR,33.5959,56.9244,98,4.5,41,73.6,1619829938
Talcahuano,CL,-36.7167,-73.1167,90,18.41,94,57.2,1619829938
San Miguelito,PA,9.0333,-79.5,90,6.91,89,78.8,1619829939
Nelson Bay,AU,-32.7167,152.15,1,3.44,78,75,1619829939
Roebourne,AU,-20.7833,117.1333,0,13.91,31,86.32,1619829939
Khovd,MN,48.0056,91.6419,100,9.86,26,62.56,1619829940
Kapoeta,SS,4.7717,33.5903,96,5.46,74,73.4,1619829940
Severo-Kuril'sk,RU,50.6789,156.125,100,22.77,96,35.26,1619829940
Cairns,AU,-16.9167,145.7667,40,12.66,65,82.99,1619829941
Berdavan,AM,41.205,44.9997,20,5.75,77,59,1619829941
Pithora,IN,21.2667,82.5167,66,3.31,32,82.02,1619829941
Monteiro,BR,-7.8894,-37.12,100,6.38,87,67.66,1619829942
Ailigandí,PA,9.2333,-78.0167,100,1.88,81,78.51,1619829942
Linkou,CN,45.3,130.2833,100,8.05,49,54.28,1619829942
Andrelândia,BR,-21.7397,-44.3092,38,4.14,97,53.73,1619829943
Tiruchchendur,IN,8.4833,78.1167,25,3.67,74,83.35,1619829943
Barkhan,PK,29.8977,69.5256,6,5.19,33,74.21,1619829943
Dawlatabad,AF,36.4141,64.9053,100,6.08,57,69.64,1619829944
Gaur,NP,26.7667,85.2667,21,8.16,35,82.72,1619829944
Sobolevo,RU,54.4299,31.8996,100,11.83,82,39.79,1619829944
Sur,OM,22.5667,59.5289,99,8.16,44,83.32,1619829945
Filingué,NE,14.3521,3.3168,0,5.66,16,86.92,1619829945
Tomatlán,MX,19.9333,-105.25,30,6.64,56,79.88,1619829945
Kudahuvadhoo,MV,2.6708,72.8944,88,2.21,71,82.56,1619829946
Manado,ID,1.487,124.8455,20,2.3,70,86,1619829946
San Patricio,US,28.017,-97.5169,90,14.97,88,75.2,1619829946
Porto-Novo,BJ,6.4965,2.6036,20,11.5,79,84.2,1619829947
Vikulovo,RU,56.8167,70.6107,0,15.17,54,37.22,1619829947
Oddur,SO,4.1213,43.8894,96,6.91,81,73.94,1619829947
Santa Marta,CO,11.2408,-74.199,75,11.5,62,86,1619829948
Buala,SB,-8.145,159.5921,100,5.19,70,83.12,1619829948
Vanimo,PG,-2.6741,141.3028,69,0.87,72,84.56,1619829948
Plettenberg Bay,ZA,-34.0527,23.3716,0,3.89,72,55.18,1619829949
Vardø,NO,70.3705,31.1107,99,34.92,89,33.21,1619829949
Zharkent,KZ,44.1628,80,100,23.4,66,62.83,1619829949
Abu Kamal,SY,34.4506,40.9171,0,11.18,32,74.19,1619829950
Whitehorse,CA,60.7161,-135.0538,75,14.97,34,50,1619829950
Anchorage,US,61.2181,-149.9003,1,9.22,31,48.2,1619829799
Torbay,CA,47.6666,-52.7314,90,14.97,100,37,1619829950
Russell,US,32.3502,-85.1999,40,6.91,49,75.2,1619829905
Sept-Îles,CA,50.2001,-66.3821,90,9.22,87,44.01,1619829951
Berbera,SO,10.4396,45.0143,99,3.02,73,83.55,1619829951
Santa Cruz,MA,30.4202,-9.5982,0,11.5,77,59,1619829952
Kismayo,SO,-0.3582,42.5454,10,9.71,80,81,1619829952
Isangel,VU,-19.55,169.2667,75,9.22,70,84.2,1619829952
Playas,EC,-2.6333,-80.3833,100,4.07,86,74.07,1619829953
Kirakira,SB,-10.4544,161.9205,100,5.03,81,81.46,1619829953
Nakhon Thai,TH,17.1006,100.8374,20,1.7,94,77,1619829953
Mathbaria,BD,22.2876,89.9593,0,9.71,70,83.97,1619829954
Jaciara,BR,-15.9653,-54.9683,40,2.8,53,73.36,1619829954
Shenjiamen,CN,29.9576,122.298,100,12.12,80,63.82,1619829954
Raglan,NZ,-37.8,174.8833,11,7,55,66.99,1619829954
Florianópolis,BR,-27.6146,-48.5012,0,3.38,88,70,1619829955
Yumen,CN,40.2833,97.2,100,3.13,8,70.05,1619829955
Loandjili,CG,-4.7561,11.8578,20,2.3,89,78.8,1619829955
Broome,US,42.2506,-75.833,90,21.85,81,39.99,1619829956
Fareydūnshahr,IR,32.941,50.121,5,2.59,47,49.86,1619829956
Ancud,CL,-41.8697,-73.8203,90,13.8,100,55,1619829845
Câmara de Lobos,PT,32.6333,-16.9667,40,11.5,63,62.6,1619829957
Calenzano,IT,43.8559,11.1627,0,1.14,94,59,1619829957
Saint Paul Harbor,US,57.79,-152.4072,1,10.36,66,48.2,1619829957
Kawambwa,ZM,-9.7915,29.0791,97,3.65,96,61.12,1619829958
Tawang Town,IN,27.5833,91.8667,61,1.41,60,51.3,1619829958
Tautira,PF,-17.7333,-149.15,75,11.5,70,84.2,1619829958
Parfen'yevo,RU,58.484,43.4088,100,14.83,91,47.61,1619829959
Maxixe,MZ,-23.8597,35.3472,100,6.67,81,71.51,1619829959
